claude_agent	chatgpt_skill	status	evidence
plugins/moai-accountant/agents/close-auditor.md	finance-audit	skill_created_unverified_runtime	plugins/moai-accountant/skills/finance-audit/SKILL.md
plugins/moai-accountant/agents/finance-analyst.md	finance-workflow	skill_created_unverified_runtime	plugins/moai-accountant/skills/finance-workflow/SKILL.md
plugins/moai-analyst/agents/data-analyst.md	data-workflow	skill_created_unverified_runtime	plugins/moai-analyst/skills/data-workflow/SKILL.md
plugins/moai-analyst/agents/data-provenance-auditor.md	data-provenance-audit	skill_created_unverified_runtime	plugins/moai-analyst/skills/data-provenance-audit/SKILL.md
plugins/moai-career/agents/career-coach.md	career-workflow	skill_created_unverified_runtime	plugins/moai-career/skills/career-workflow/SKILL.md
plugins/moai-career/agents/resume-auditor.md	career-claim-audit	skill_created_unverified_runtime	plugins/moai-career/skills/career-claim-audit/SKILL.md
plugins/moai-consultant/agents/feasibility-auditor.md	consult-feasibility-audit	skill_created_unverified_runtime	plugins/moai-consultant/skills/consult-feasibility-audit/SKILL.md
plugins/moai-consultant/agents/strategy-consultant.md	consult-workflow	skill_created_unverified_runtime	plugins/moai-consultant/skills/consult-workflow/SKILL.md
plugins/moai-cs/agents/cs-responder.md	cs-workflow	skill_created_unverified_runtime	plugins/moai-cs/skills/cs-workflow/SKILL.md
plugins/moai-cs/agents/voc-auditor.md	cs-quality-audit	skill_created_unverified_runtime	plugins/moai-cs/skills/cs-quality-audit/SKILL.md
plugins/moai-lawyer/agents/legal-researcher.md	legal-workflow	skill_created_unverified_runtime	plugins/moai-lawyer/skills/legal-workflow/SKILL.md
plugins/moai-lawyer/agents/risk-auditor.md	legal-evidence-audit	skill_created_unverified_runtime	plugins/moai-lawyer/skills/legal-evidence-audit/SKILL.md
plugins/moai-marketer/agents/campaign-strategist.md	marketing-workflow	skill_created_unverified_runtime	plugins/moai-marketer/skills/marketing-workflow/SKILL.md
plugins/moai-marketer/agents/performance-auditor.md	marketing-evidence-audit	skill_created_unverified_runtime	plugins/moai-marketer/skills/marketing-evidence-audit/SKILL.md
plugins/moai-media/agents/media-brand-auditor.md	media-brand-audit	skill_created_unverified_runtime	plugins/moai-media/skills/media-brand-audit/SKILL.md
plugins/moai-media/agents/media-producer.md	media-production	skill_created_unverified_runtime	plugins/moai-media/skills/media-production/SKILL.md
plugins/moai-officer/agents/data-auditor.md	doc-data-audit	skill_created_unverified_runtime	plugins/moai-officer/skills/doc-data-audit/SKILL.md
plugins/moai-officer/agents/doc-producer.md	doc-workflow	skill_created_unverified_runtime	plugins/moai-officer/skills/doc-workflow/SKILL.md
plugins/moai-recruiter/agents/recruiter.md	hr-workflow	skill_created_unverified_runtime	plugins/moai-recruiter/skills/hr-workflow/SKILL.md
plugins/moai-recruiter/agents/screening-auditor.md	hr-screening-audit	skill_created_unverified_runtime	plugins/moai-recruiter/skills/hr-screening-audit/SKILL.md
plugins/moai-seller/agents/listing-builder.md	commerce-workflow	skill_created_unverified_runtime	plugins/moai-seller/skills/commerce-workflow/SKILL.md
plugins/moai-seller/agents/margin-auditor.md	commerce-margin-audit	skill_created_unverified_runtime	plugins/moai-seller/skills/commerce-margin-audit/SKILL.md
plugins/moai-story/agents/story-continuity-auditor.md	story-continuity-audit	skill_created_unverified_runtime	plugins/moai-story/skills/story-continuity-audit/SKILL.md
plugins/moai-story/agents/story-director.md	story-project	existing_skill_extended_unverified_runtime	plugins/moai-story/skills/story-project/SKILL.md
plugins/moai-tutor/agents/assessment-auditor.md	education-assessment-audit	skill_created_unverified_runtime	plugins/moai-tutor/skills/education-assessment-audit/SKILL.md
plugins/moai-tutor/agents/curriculum-designer.md	education-workflow	skill_created_unverified_runtime	plugins/moai-tutor/skills/education-workflow/SKILL.md
plugins/moai-writer/agents/manuscript-auditor.md	book-manuscript-audit	skill_created_unverified_runtime	plugins/moai-writer/skills/book-manuscript-audit/SKILL.md
plugins/moai-writer/agents/writer-director.md	book-workflow	skill_created_unverified_runtime	plugins/moai-writer/skills/book-workflow/SKILL.md
