agent_path	skill_path	comparison_status	runtime_status
plugins/moai-accountant/agents/close-auditor.md	plugins/moai-accountant/skills/finance-audit/SKILL.md	body_compared	not_run
plugins/moai-accountant/agents/finance-analyst.md	plugins/moai-accountant/skills/finance-workflow/SKILL.md	body_compared	not_run
plugins/moai-analyst/agents/data-analyst.md	plugins/moai-analyst/skills/data-workflow/SKILL.md	body_compared	not_run
plugins/moai-analyst/agents/data-provenance-auditor.md	plugins/moai-analyst/skills/data-provenance-audit/SKILL.md	body_compared	not_run
plugins/moai-career/agents/career-coach.md	plugins/moai-career/skills/career-workflow/SKILL.md	body_compared	not_run
plugins/moai-career/agents/resume-auditor.md	plugins/moai-career/skills/career-claim-audit/SKILL.md	body_compared	not_run
plugins/moai-consultant/agents/feasibility-auditor.md	plugins/moai-consultant/skills/consult-feasibility-audit/SKILL.md	body_compared	not_run
plugins/moai-consultant/agents/strategy-consultant.md	plugins/moai-consultant/skills/consult-workflow/SKILL.md	body_compared	not_run
plugins/moai-cs/agents/cs-responder.md	plugins/moai-cs/skills/cs-workflow/SKILL.md	body_compared	not_run
plugins/moai-cs/agents/voc-auditor.md	plugins/moai-cs/skills/cs-quality-audit/SKILL.md	body_compared	not_run
plugins/moai-lawyer/agents/legal-researcher.md	plugins/moai-lawyer/skills/legal-workflow/SKILL.md	body_compared	not_run
plugins/moai-lawyer/agents/risk-auditor.md	plugins/moai-lawyer/skills/legal-evidence-audit/SKILL.md	body_compared	not_run
plugins/moai-marketer/agents/campaign-strategist.md	plugins/moai-marketer/skills/marketing-workflow/SKILL.md	body_compared	not_run
plugins/moai-marketer/agents/performance-auditor.md	plugins/moai-marketer/skills/marketing-evidence-audit/SKILL.md	body_compared	not_run
plugins/moai-media/agents/media-brand-auditor.md	plugins/moai-media/skills/media-brand-audit/SKILL.md	body_compared	not_run
plugins/moai-media/agents/media-producer.md	plugins/moai-media/skills/media-production/SKILL.md	body_compared	not_run
plugins/moai-officer/agents/data-auditor.md	plugins/moai-officer/skills/doc-data-audit/SKILL.md	body_compared	not_run
plugins/moai-officer/agents/doc-producer.md	plugins/moai-officer/skills/doc-workflow/SKILL.md	body_compared	not_run
plugins/moai-recruiter/agents/recruiter.md	plugins/moai-recruiter/skills/hr-workflow/SKILL.md	body_compared	not_run
plugins/moai-recruiter/agents/screening-auditor.md	plugins/moai-recruiter/skills/hr-screening-audit/SKILL.md	body_compared	not_run
plugins/moai-seller/agents/listing-builder.md	plugins/moai-seller/skills/commerce-workflow/SKILL.md	body_compared	not_run
plugins/moai-seller/agents/margin-auditor.md	plugins/moai-seller/skills/commerce-margin-audit/SKILL.md	body_compared	not_run
plugins/moai-story/agents/story-continuity-auditor.md	plugins/moai-story/skills/story-continuity-audit/SKILL.md	body_compared	not_run
plugins/moai-story/agents/story-director.md	plugins/moai-story/skills/story-project/SKILL.md	body_compared	not_run
plugins/moai-tutor/agents/assessment-auditor.md	plugins/moai-tutor/skills/education-assessment-audit/SKILL.md	body_compared	not_run
plugins/moai-tutor/agents/curriculum-designer.md	plugins/moai-tutor/skills/education-workflow/SKILL.md	body_compared	not_run
plugins/moai-writer/agents/manuscript-auditor.md	plugins/moai-writer/skills/book-manuscript-audit/SKILL.md	body_compared	not_run
plugins/moai-writer/agents/writer-director.md	plugins/moai-writer/skills/book-workflow/SKILL.md	body_compared	not_run
